file	sample	status	type	replica	persistent	recovered	wt	resistant	sensible	ko
DF-1_IBDV_S1_R1_001	DF.1_IBDV	IBDV	DF.1	1	N	N	Y	N	Y	N
DF-1_IBDV_S2_R1_001	DF.1_IBDV	IBDV	DF.1	2	N	N	Y	N	Y	N
DF-1_IBDV_S3_R1_001	DF.1_IBDV	IBDV	DF.1	3	N	N	Y	N	Y	N
DF-1PC_IBDV_S1_R1_001	DF.1PC_IBDV	IBDV	DF.1PC	1	N	Y	N	N	Y	N
DF-1PC_IBDV_S2_R1_001	DF.1PC_IBDV	IBDV	DF.1PC	2	N	Y	N	N	Y	N
DF-1PC_IBDV_S3_R1_001	DF.1PC_IBDV	IBDV	DF.1PC	3	N	Y	N	N	Y	N
DF-1PC_uninfected_S1_R1_001	DF.1PC_uninfected	uninfected	DF.1PC	1	N	Y	N	N	Y	N
DF-1PC_uninfected_S2_R1_001	DF.1PC_uninfected	uninfected	DF.1PC	2	N	Y	N	N	Y	N
DF-1PC_uninfected_S3_R1_001	DF.1PC_uninfected	uninfected	DF.1PC	3	N	Y	N	N	Y	N
DF-1P_IBDV_S1_R1_001	DF.1P_IBDV	IBDV	DF.1P	1	Y	N	N	Y	N	N
DF-1P_IBDV_S2_R1_001	DF.1P_IBDV	IBDV	DF.1P	2	Y	N	N	Y	N	N
DF-1P_IBDV_S3_R1_001	DF.1P_IBDV	IBDV	DF.1P	3	Y	N	N	Y	N	N
DF-1P_uninfected_S1_R1_001	DF.1P_uninfected	uninfected	DF.1P	1	Y	N	N	Y	N	N
DF-1P_uninfected_S2_R1_001	DF.1P_uninfected	uninfected	DF.1P	2	Y	N	N	Y	N	N
DF-1P_uninfected_S3_R1_001	DF.1P_uninfected	uninfected	DF.1P	3	Y	N	N	Y	N	N
DF-1.TLR3_KO_IBDV_S1_R1_001	DF.1.TLR3_KO_IBDV	IBDV	DF.1.TLR3_KO	1	N	N	N	N	Y	Y
DF-1.TLR3_KO_IBDV_S2_R1_001	DF.1.TLR3_KO_IBDV	IBDV	DF.1.TLR3_KO	2	N	N	N	N	Y	Y
DF-1.TLR3_KO_IBDV_S3_R1_001	DF.1.TLR3_KO_IBDV	IBDV	DF.1.TLR3_KO	3	N	N	N	N	Y	Y
DF-1.TLR3_KO_uninfected_S1_R1_001	DF.1.TLR3_KO_uninfected	uninfected	DF.1.TLR3_KO	1	N	N	N	N	Y	Y
DF-1.TLR3_KO_uninfected_S2_R1_001	DF.1.TLR3_KO_uninfected	uninfected	DF.1.TLR3_KO	2	N	N	N	N	Y	Y
DF-1.TLR3_KO_uninfected_S3_R1_001	DF.1.TLR3_KO_uninfected	uninfected	DF.1.TLR3_KO	3	N	N	N	N	Y	Y
DF-1_uninfected_S1_R1_001	DF.1_uninfected	uninfected	DF.1	1	N	N	Y	N	Y	N
DF-1_uninfected_S2_R1_001	DF.1_uninfected	uninfected	DF.1	2	N	N	Y	N	Y	N
DF-1_uninfected_S3_R1_001	DF.1_uninfected	uninfected	DF.1	3	N	N	Y	N	Y	N
